Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,5,171,1,1,122.0,1,19,12,5,127.3,1,0,0,1,1,0,20,0,0,0.0,0,0,10.8,1.4,1.74,1
1,15,1,9254,1,1,160.0,1,1,3,3,142.5,1,0,0,0,1,0,19,0,6,14.0,0,0,13.9,-0.3,0.79,0
1,1,5,9070,1,1,122.0,1,37,37,9,124.8,1,0,0,0,1,0,19,0,0,0.0,0,0,10.8,1.4,1.74,1
1,17,2,9773,1,1,122.0,1,38,37,5,119.6,1,0,0,1,0,0,20,0,8,13.428571428571429,0,0,9.4,-0.8,-3.12,0
2,39,1,8014,0,1,132.0,1,37,38,9,141.5,0,0,0,1,0,0,23,0,9,12.333333333333334,0,0,13.9,-0.3,0.79,0
2,39,1,9991,0,19,133.1,1,37,37,9,114.8,0,0,1,1,1,0,23,0,10,11.857142857142858,0,5,16.2,0.3,-0.92,0
1,1,1,9500,1,1,142.0,1,19,38,7,128.4,1,0,0,1,0,1,18,0,9,13.3,0,0,15.5,2.8,-4.06,0
1,18,4,9254,1,1,119.0,1,37,37,9,113.1,1,0,0,0,1,0,22,0,5,0.0,0,0,15.5,2.8,-4.06,1
1,1,3,9238,1,1,137.0,62,1,1,9,129.3,0,0,0,1,0,1,21,0,8,13.875,0,0,16.2,0.3,-0.92,0
1,1,1,9238,1,1,138.0,1,1,19,4,123.0,1,0,1,0,0,0,18,0,9,11.4,0,0,8.9,1.4,3.51,1
1,1,1,9670,1,1,139.0,1,38,19,5,130.6,1,0,0,1,0,0,18,0,6,12.333333333333334,0,0,13.9,-0.3,0.79,0
1,1,1,9500,1,1,136.0,1,19,38,9,119.3,1,0,0,1,0,1,18,0,8,13.214285714285714,0,0,12.7,3.7,-1.7,0
1,1,2,9853,1,1,133.0,1,19,37,4,130.2,1,0,0,1,0,0,19,0,6,0.0,0,0,12.7,3.7,-1.7,1
1,53,1,9254,1,42,110.0,1,1,1,4,111.8,1,0,0,1,0,1,21,0,7,10.571428571428571,0,0,8.9,1.4,3.51,0
1,1,1,9085,1,1,149.0,1,38,37,5,137.1,1,0,0,1,0,1,18,0,7,13.25,0,0,10.8,1.4,1.74,0
1,1,1,9773,1,1,127.0,1,19,37,9,120.7,1,0,0,1,0,0,20,0,6,13.2,0,0,15.5,2.8,-4.06,1
1,18,1,9238,1,1,137.0,1,19,38,5,137.4,1,0,0,1,0,0,18,0,10,12.0,0,0,10.8,1.4,1.74,0
1,17,2,9500,1,1,135.0,1,19,1,5,127.3,1,0,0,1,0,0,18,0,8,13.30625,0,0,15.5,2.8,-4.06,0
1,1,1,9130,1,1,137.0,1,3,19,3,136.3,1,0,0,1,0,0,20,0,8,12.5,1,2,10.8,1.4,1.74,0
1,1,1,9853,1,1,140.0,1,19,19,7,124.6,1,0,0,1,0,0,18,0,7,11.666666666666666,0,0,16.2,0.3,-0.92,0
1,1,3,171,1,1,122.0,1,1,1,9,120.3,0,0,0,1,0,1,21,0,0,0.0,0,0,11.1,0.6,2.02,0
1,18,4,9556,1,1,127.0,1,1,38,4,121.8,1,0,0,1,0,0,20,0,14,11.4375,0,0,12.7,3.7,-1.7,0
1,1,4,9500,1,1,142.0,1,19,19,1,125.5,1,0,0,1,0,0,18,0,12,12.857142857142858,0,0,12.7,3.7,-1.7,0
1,1,4,9670,1,1,125.0,1,1,38,4,114.9,1,0,0,1,0,1,19,0,8,13.375,0,0,11.1,0.6,2.02,0
1,1,1,9500,1,1,126.0,1,19,19,3,123.9,0,0,0,1,0,0,19,0,8,13.296666666666669,0,0,11.1,0.6,2.02,0
1,1,1,9238,1,1,151.0,1,19,38,9,126.978119,1,0,1,1,0,1,18,0,8,11.6,0,0,7.6,2.6,0.32,0
1,17,2,9238,1,1,115.0,1,19,38,7,116.4,1,0,0,1,0,0,21,0,9,11.375,0,0,16.2,0.3,-0.92,0
1,1,1,9085,1,1,138.0,1,19,19,3,131.0,1,0,0,1,0,0,18,0,9,12.666666666666666,2,0,9.4,-0.8,-3.12,0
1,1,1,9147,1,1,135.0,1,19,1,9,122.1,1,0,0,1,0,0,20,0,6,12.0,0,0,16.2,0.3,-0.92,0
1,17,2,9500,1,1,127.0,1,3,3,1,118.8,1,0,0,1,1,0,19,0,9,12.933333333333332,0,0,16.2,0.3,-0.92,0
1,44,1,9003,1,39,150.0,1,4,5,4,150.0,0,0,0,1,1,0,21,0,15,11.857142857142858,0,0,16.2,0.3,-0.92,0
1,51,1,9070,1,1,125.0,1,42,3,9,130.0,1,0,0,1,1,0,20,2,7,12.833333333333334,0,0,8.9,1.4,3.51,0
1,1,1,9147,1,1,143.0,1,1,1,4,138.8,0,0,0,0,1,0,18,0,9,11.333333333333334,0,0,8.9,1.4,3.51,0
1,18,1,8014,0,1,138.0,1,19,1,9,134.5,1,0,0,1,0,0,19,0,6,12.666666666666666,0,0,12.4,0.5,1.79,0
1,1,1,9991,0,1,130.0,1,2,37,3,131.4,0,0,0,1,1,0,23,0,6,12.4,0,0,13.9,-0.3,0.79,0
1,39,1,9500,1,1,130.0,1,38,37,9,102.5,0,0,1,0,1,0,23,0,7,0.0,0,0,8.9,1.4,3.51,1
1,39,1,9119,1,1,133.1,1,34,37,0,128.8,1,0,0,1,1,0,23,0,0,0.0,0,0,7.6,2.6,0.32,1
1,43,1,9147,1,1,140.0,1,37,37,6,122.9,0,0,0,1,0,0,23,0,10,10.0,0,2,16.2,0.3,-0.92,1
4,39,1,9991,0,1,120.0,1,19,19,9,113.9,1,0,0,1,0,0,23,0,8,11.0,0,0,7.6,2.6,0.32,0
1,44,1,9130,1,39,120.0,6,4,4,3,120.0,0,0,1,0,0,0,20,2,13,11.666666666666666,0,0,12.4,0.5,1.79,1
1,1,5,9773,1,1,126.0,1,3,3,2,121.1,0,0,1,1,0,0,18,0,6,12.75,0,0,12.7,3.7,-1.7,1
1,1,2,9147,1,1,133.0,1,3,19,2,120.4,1,0,0,1,0,0,22,0,5,14.8,0,0,8.9,1.4,3.51,0
1,1,6,9500,1,1,103.0,1,1,3,2,100.6,1,1,0,1,0,0,22,0,9,13.928,0,0,11.1,0.6,2.02,0
1,17,1,9773,1,1,120.0,1,1,38,5,121.4,0,0,0,0,0,0,20,0,7,13.0,0,0,12.4,0.5,1.79,1
1,39,1,9991,0,1,133.1,1,37,37,9,109.7,0,0,0,1,0,0,29,0,0,0.0,0,0,16.2,0.3,-0.92,1
1,17,1,9991,0,1,154.0,1,38,38,4,134.1,0,0,0,1,0,0,24,0,9,11.5,0,1,7.6,2.6,0.32,0
1,17,2,9238,1,1,130.0,1,19,19,9,127.6,1,0,0,1,0,0,18,0,6,11.666666666666666,0,0,11.1,0.6,2.02,0
1,17,6,9500,1,1,132.0,1,37,19,7,132.4,1,0,0,1,0,1,22,0,8,13.516666666666666,0,0,11.1,0.6,2.02,0
1,44,1,8014,0,39,130.0,1,1,19,9,133.4,0,0,0,1,0,1,21,3,6,11.5,0,0,12.4,0.5,1.79,0
1,1,1,9238,1,1,139.0,1,37,38,9,126.1,0,0,0,1,0,1,19,0,7,12.333333333333334,0,0,12.7,3.7,-1.7,0
1,39,1,9254,1,1,130.0,1,19,38,9,113.5,0,0,0,1,0,1,24,0,6,13.666666666666666,0,0,12.4,0.5,1.79,0
1,1,1,9500,1,1,139.0,1,37,38,6,121.3,1,0,0,1,0,1,19,0,10,11.833333333333334,0,0,9.4,-0.8,-3.12,0
1,1,1,9773,1,1,127.0,1,1,19,7,121.8,1,0,0,1,0,1,20,0,11,14.0,0,0,9.4,-0.8,-3.12,0
1,1,3,9130,1,1,132.0,1,37,37,90,126.978119,0,0,0,1,0,0,19,0,7,14.714285714285714,0,0,7.6,2.6,0.32,0
1,39,1,9991,0,1,130.0,1,38,38,9,120.0,0,0,0,1,0,0,27,0,12,10.6,0,0,9.4,-0.8,-3.12,1
1,1,1,9500,1,1,130.0,1,1,19,5,129.1,1,0,0,1,0,0,18,0,9,13.044444444444444,0,0,15.5,2.8,-4.06,0
2,7,1,9254,1,3,130.0,1,1,3,4,130.0,0,0,0,1,0,0,23,0,10,0.0,0,0,12.4,0.5,1.79,1
1,39,1,9130,1,40,129.0,1,3,3,2,126.978119,1,0,0,1,0,0,27,0,9,13.0,0,0,12.4,0.5,1.79,1
1,17,1,9500,1,1,141.0,1,38,38,7,139.8,1,0,0,1,0,0,18,0,8,14.935,0,0,9.4,-0.8,-3.12,0
1,1,3,171,1,1,125.0,1,38,37,4,115.2,1,0,0,1,0,0,18,0,0,0.0,0,0,7.6,2.6,0.32,0
1,1,2,9500,1,1,125.0,1,19,19,9,114.9,0,0,0,1,0,0,18,0,8,13.133333333333333,0,0,16.2,0.3,-0.92,0
1,44,1,9238,1,39,130.0,1,19,1,9,131.9,0,0,0,1,0,1,21,3,7,12.0,0,0,13.9,-0.3,0.79,0
1,17,3,171,1,1,133.0,1,1,37,4,126.0,1,0,0,1,1,1,19,0,0,0.0,0,0,10.8,1.4,1.74,0
1,17,1,9070,1,1,127.0,1,1,1,3,130.2,1,0,0,1,1,0,19,0,6,11.4,0,0,10.8,1.4,1.74,0
1,43,1,9070,1,1,116.0,1,1,1,3,120.9,0,0,0,1,1,0,24,0,6,0.0,0,0,12.7,3.7,-1.7,0
